Tier,Number,President,Pros,Cons,Grade,Slavery,Genocide,War Crimes,Rape,Corruption
Awesome,1,George Washington,"Created the country, invented the presidency, ","Owned slaves, didn't do anything about slavery.
",A+,y,y,,,
Awesome,32,Franklin D Roosevelt,"Won WW2, did the new deal, resisted dictators and his own enormous power.","Japanese internment, civilian casualties in WW2.",A+,,,y,,
Awesome,16,Abraham Lincoln,"Reunited the country, freed the slaves.","Was racist, just didn't think slavery was good.",A,,y,,,
Awesome,34,Dwight D Eisenhower,"Anti-racist, against military-industrial complex.",Killed a lot of people.,A,,,,,
Great,4,James Madison,"Invented American democracy and manipulated everyone into getting his way.
","Slave owner, not a great administrator.",B+,y,,,,
Great,18,Ulysses S Grant,Won the war for Lincoln.,"Fucked up Indian ""Peace"" policy.",B+,?,y,,,
Great,26,Theodore Roosevelt,"Social programs, conservation, trust busting.","Super racist, aggressively imperialist.",B+,,,,,
Great,27,William Howard Taft,"Not bad, better in the SCOTUS. Also not fat.",Was all up in the Phillipines.,B+,,,,,
Great,28,Woodrow Wilson,"The League of Nations, world war 1.",Pretty racist.,B+,,,,,
Above average,30,Calvin Coolidge,"Cut taxes a lot, but it worked.",Not bad.,B,,,,,
Above average,35,John F Kennedy,Avoided WW3 when it was most likely.,"Stole elections, lied about his health.",B,,,,,y
Above average,39,Jimmy Carter,Camp David accords.,Not much.,B,,,,,
Above average,6,John Quincy Adams,"Didn't own slaves, fought against slavery.","Like his dad in every way but more so.
",C+,,,,,
Above average,22,Grover Cleveland,Did his best and was better than some.,Nothing too big.,C+,,,,y,
Above average,23,Benjamin Harrison,Added a bunch of states.,Not much.,C+,,,,,
Above average,31,Herbert Hoover,"Rescued folks in WW1, tried to stop depression.","A total asshole, racist, bad at admin.",C+,,,,,
Above average,40,Ronald Reagan,"Made progress in world peace and disarmament.
","Stole election, a bunch of illegal shit, war crimes.
",C+,,,y,y,y
Average,2,John Adams,"Not a slave owner, when that was unusual.","Prudish, self-important, entitled, inept.",C,,,,,
Average,3,Thomas Jefferson,"Accomplished diplomat and soldier, so-so president.
","Slave owner, serial and persistent rapist.",C,y,y,,y,
Average,13,Millard Fillmore,"Said slavery was bad (but did nothing).
","The compromise of 1850, kicked the civil war can.",C,,y,,,
Average,19,Rutherford B Hayes,Nothing.,Nothing.,C,,,,,
Average,20,James A Garfield,Doctor Doctor Willard Bliss is hilarious.,Nothing.,C,,,,,
Average,25,William McKinley,Dull.,Aggressively imperialist.,C,,y,,,
Average,29,Warren G Harding,Proposed social programs.,"A lot of questionable sex stuff, died.",C,,,,y,y
Average,36,Lyndon B Johnson,Civil rights progress.,"Vietnam, extremely fucked up power dynamics.",C,,,y,,
Average,38,Gerald Ford,Didn't fuck anything up.,Didn't do much good.,C,,,,,
Average,21,Chester A Arthur,Tried his best but it wasn't very good. Julia Sand!,Not much.,"C
",,,,,
Average,41,George H W Bush,Nothing.,Nothing.,"C
",,,,y,
Average,5,James Monroe,Invented a bad but long-lived Doctrine.,"Slave owner, supported Missouri compromise.",C-,y,y,,,
Below average,11,James K Polk,Lucked into doubling the size of the US with the Louisiana Purchase.,"A Jacksonian puppet with few ideas, owned slaves.
",C-,y,y,y,,
Below average,12,Zachary Taylor,Died after 16 months in office in a comedy way.,"Owned slaves, compromised on slavery.",C-,y,y,,,
Below average,8,Martin Van Buren,Opposed slavery but owned slaves before presidency.,Still murdered a bunch of native americans.,D+,y,y,,,
Below average,10,John Tyler,Defined vice presidential succession.,Boring and ineffective and sucked.,D+,y,,,,
Below average,9,William Henry Harrison,Owned slaves.,Died after 31 days.,D,y,,,,
Awful,14,Franklin Pierce,Fuck all.,"Kansas-Nebraska act, enforced slave laws, kicked the civil war can, was a traitor.",D,y,y,,,
Awful,33,Harry S Truman,Nothing.,"Corrupt, racist, mass civilian murder, dropped the bomb.",D,,,y,,y
Awful,37,Richard Nixon,"China, USSR relations, world peace.
","Fucked up the American presidency, Vietnam, corrupt aas hell.",D,,,y,y,y
The worst,7,Andrew Jackson,Hooo boy.,"Slavery, multiple genocides, started wars, killed people in duels.",D-,y,y,y,,
The worst,15,James Buchanan,Nope.,"Dred Scott kicked off the civil war, broke the country.",F,y,y,,,
The worst,17,Andrew Johnson,Nope.,Deliberately fucked up reconstruction.,F,y,y,,,